,countyname,fipscounty,neighborname,fipsneighbor
2,"Accomack County, VA",51001,"Accomack County, VA",51001
3,"Accomack County, VA",51001,"Lancaster County, VA",51103
4,"Accomack County, VA",51001,"Mathews County, VA",51115
5,"Accomack County, VA",51001,"Middlesex County, VA",51119
6,"Accomack County, VA",51001,"Northampton County, VA",51131
7,"Accomack County, VA",51001,"Northumberland County, VA",51133
8,"Albemarle County, VA",51003,"Albemarle County, VA",51003
9,"Albemarle County, VA",51003,"Augusta County, VA",51015
10,"Albemarle County, VA",51003,"Buckingham County, VA",51029
11,"Albemarle County, VA",51003,"Fluvanna County, VA",51065
12,"Albemarle County, VA",51003,"Greene County, VA",51079
13,"Albemarle County, VA",51003,"Louisa County, VA",51109
14,"Albemarle County, VA",51003,"Nelson County, VA",51125
15,"Albemarle County, VA",51003,"Orange County, VA",51137
16,"Albemarle County, VA",51003,"Rockingham County, VA",51165
17,"Albemarle County, VA",51003,"Charlottesville city, VA",51540
18,"Alleghany County, VA",51005,"Alleghany County, VA",51005
19,"Alleghany County, VA",51005,"Bath County, VA",51017
20,"Alleghany County, VA",51005,"Botetourt County, VA",51023
21,"Alleghany County, VA",51005,"Craig County, VA",51045
22,"Alleghany County, VA",51005,"Rockbridge County, VA",51163
23,"Alleghany County, VA",51005,"Covington city, VA",51580
26,"Amelia County, VA",51007,"Amelia County, VA",51007
27,"Amelia County, VA",51007,"Chesterfield County, VA",51041
28,"Amelia County, VA",51007,"Cumberland County, VA",51049
29,"Amelia County, VA",51007,"Dinwiddie County, VA",51053
30,"Amelia County, VA",51007,"Nottoway County, VA",51135
31,"Amelia County, VA",51007,"Powhatan County, VA",51145
32,"Amelia County, VA",51007,"Prince Edward County, VA",51147
33,"Amherst County, VA",51009,"Amherst County, VA",51009
34,"Amherst County, VA",51009,"Appomattox County, VA",51011
35,"Amherst County, VA",51009,"Bedford County, VA",51019
36,"Amherst County, VA",51009,"Campbell County, VA",51031
37,"Amherst County, VA",51009,"Nelson County, VA",51125
38,"Amherst County, VA",51009,"Rockbridge County, VA",51163
39,"Amherst County, VA",51009,"Lynchburg city, VA",51680
40,"Appomattox County, VA",51011,"Amherst County, VA",51009
