countyname,fipscounty,neighborname,fipsneighbor
"Accomack County, VA",51001,"Somerset County, MD",24039
"Accomack County, VA",51001,"Worcester County, MD",24047
"Accomack County, VA",51001,"Accomack County, VA",51001
"Accomack County, VA",51001,"Lancaster County, VA",51103
"Accomack County, VA",51001,"Mathews County, VA",51115
"Accomack County, VA",51001,"Middlesex County, VA",51119
"Accomack County, VA",51001,"Northampton County, VA",51131
"Accomack County, VA",51001,"Northumberland County, VA",51133
"Albemarle County, VA",51003,"Albemarle County, VA",51003
"Albemarle County, VA",51003,"Augusta County, VA",51015
"Albemarle County, VA",51003,"Buckingham County, VA",51029
"Albemarle County, VA",51003,"Fluvanna County, VA",51065
"Albemarle County, VA",51003,"Greene County, VA",51079
"Albemarle County, VA",51003,"Louisa County, VA",51109
"Albemarle County, VA",51003,"Nelson County, VA",51125
"Albemarle County, VA",51003,"Orange County, VA",51137
"Albemarle County, VA",51003,"Rockingham County, VA",51165
"Albemarle County, VA",51003,"Charlottesville city, VA",51540
"Alleghany County, VA",51005,"Alleghany County, VA",51005
"Alleghany County, VA",51005,"Bath County, VA",51017
"Alleghany County, VA",51005,"Botetourt County, VA",51023
"Alleghany County, VA",51005,"Craig County, VA",51045
"Alleghany County, VA",51005,"Rockbridge County, VA",51163
"Alleghany County, VA",51005,"Covington city, VA",51580
"Alleghany County, VA",51005,"Greenbrier County, WV",54025
"Alleghany County, VA",51005,"Monroe County, WV",54063
"Amelia County, VA",51007,"Amelia County, VA",51007
"Amelia County, VA",51007,"Chesterfield County, VA",51041
"Amelia County, VA",51007,"Cumberland County, VA",51049
"Amelia County, VA",51007,"Dinwiddie County, VA",51053
"Amelia County, VA",51007,"Nottoway County, VA",51135
"Amelia County, VA",51007,"Powhatan County, VA",51145
"Amelia County, VA",51007,"Prince Edward County, VA",51147
"Amherst County, VA",51009,"Amherst County, VA",51009
"Amherst County, VA",51009,"Appomattox County, VA",51011
"Amherst County, VA",51009,"Bedford County, VA",51019
"Amherst County, VA",51009,"Campbell County, VA",51031
"Amherst County, VA",51009,"Nelson County, VA",51125
"Amherst County, VA",51009,"Rockbridge County, VA",51163
"Amherst County, VA",51009,"Lynchburg city, VA",51680
"Appomattox County, VA",51011,"Amherst County, VA",51009
"Appomattox County, VA",51011,"Appomattox County, VA",51011
"Appomattox County, VA",51011,"Buckingham County, VA",51029
"Appomattox County, VA",51011,"Campbell County, VA",51031
"Appomattox County, VA",51011,"Charlotte County, VA",51037
"Appomattox County, VA",51011,"Nelson County, VA",51125
"Appomattox County, VA",51011,"Prince Edward County, VA",51147
"Arlington County, VA",51013,"District of Columbia, DC",11001
"Arlington County, VA",51013,"Montgomery County, MD",24031
"Arlington County, VA",51013,"Arlington County, VA",51013
"Arlington County, VA",51013,"Fairfax County, VA",51059
"Arlington County, VA",51013,"Alexandria city, VA",51510
"Arlington County, VA",51013,"Falls Church city, VA",51610
"Augusta County, VA",51015,"Albemarle County, VA",51003
"Augusta County, VA",51015,"Augusta County, VA",51015
"Augusta County, VA",51015,"Bath County, VA",51017
"Augusta County, VA",51015,"Highland County, VA",51091
"Augusta County, VA",51015,"Nelson County, VA",51125
"Augusta County, VA",51015,"Rockbridge County, VA",51163
"Augusta County, VA",51015,"Rockingham County, VA",51165
"Augusta County, VA",51015,"Staunton city, VA",51790
"Augusta County, VA",51015,"Waynesboro city, VA",51820
"Augusta County, VA",51015,"Pendleton County, WV",54071
