Accomack County, 51001 FIPS Code, Virginia
Albemarle County, 51003 FIPS Code, Virginia
Alexandria County, 51510 FIPS Code, Virginia
Alleghany County, 51005 FIPS Code, Virginia
Amelia County, 51007 FIPS Code, Virginia
Amherst County, 51009 FIPS Code, Virginia
Appomattox County, 51011 FIPS Code, Virginia
Arlington County, 51013 FIPS Code, Virginia
Augusta County, 51015 FIPS Code, Virginia
Bath County, 51017 FIPS Code, Virginia
Bedford City County, 51515 FIPS Code, Virginia
Bedford County County, 51019 FIPS Code, Virginia
Bland County, 51021 FIPS Code, Virginia
Botetourt County, 51023 FIPS Code, Virginia
Bristol County, 51520 FIPS Code, Virginia
Brunswick County, 51025 FIPS Code, Virginia
Buchanan County, 51027 FIPS Code, Virginia
Buckingham County, 51029 FIPS Code, Virginia
Buena Vista County, 51530 FIPS Code, Virginia
Campbell County, 51031 FIPS Code, Virginia
Caroline County, 51033 FIPS Code, Virginia
Carroll County, 51035 FIPS Code, Virginia
Charles City County, 51036 FIPS Code, Virginia
Charlotte County, 51037 FIPS Code, Virginia
Charlottesville County, 51540 FIPS Code, Virginia
Chesapeake County, 51550 FIPS Code, Virginia
Chesterfield County, 51041 FIPS Code, Virginia
Clarke County, 51043 FIPS Code, Virginia
Colonial Heights County, 51570 FIPS Code, Virginia
Covington County, 51580 FIPS Code, Virginia
Craig County, 51045 FIPS Code, Virginia
Culpeper County, 51047 FIPS Code, Virginia
Cumberland County, 51049 FIPS Code, Virginia
Danville County, 51590 FIPS Code, Virginia
Dickenson County, 51051 FIPS Code, Virginia
Dinwiddie County, 51053 FIPS Code, Virginia
Emporia County, 51595 FIPS Code, Virginia
Essex County, 51057 FIPS Code, Virginia
Fairfax City County, 51600 FIPS Code, Virginia
Fairfax County County, 51059 FIPS Code, Virginia
Falls Church County, 51610 FIPS Code, Virginia
Fauquier County, 51061 FIPS Code, Virginia
Floyd County, 51063 FIPS Code, Virginia
Fluvanna County, 51065 FIPS Code, Virginia
Franklin City County, 51620 FIPS Code, Virginia
Franklin County County, 51067 FIPS Code, Virginia
Frederick County, 51069 FIPS Code, Virginia
Fredericksburg County, 51630 FIPS Code, Virginia
Galax County, 51640 FIPS Code, Virginia
Giles County, 51071 FIPS Code, Virginia
Gloucester County, 51073 FIPS Code, Virginia
Goochland County, 51075 FIPS Code, Virginia
Grayson County, 51077 FIPS Code, Virginia
Greene County, 51079 FIPS Code, Virginia
Greensville County, 51081 FIPS Code, Virginia
Halifax County, 51083 FIPS Code, Virginia
Hampton County, 51650 FIPS Code, Virginia
Hanover County, 51085 FIPS Code, Virginia
Harrisonburg County, 51660 FIPS Code, Virginia
Henrico County, 51087 FIPS Code, Virginia
Henry County, 51089 FIPS Code, Virginia
Highland County, 51091 FIPS Code, Virginia
Hopewell County, 51670 FIPS Code, Virginia
Isle of Wight County, 51093 FIPS Code, Virginia
James City County, 51095 FIPS Code, Virginia
King and Queen County, 51097 FIPS Code, Virginia
King George County, 51099 FIPS Code, Virginia
King William County, 51101 FIPS Code, Virginia
