FIPS,Social distancing index,% staying home,Trips/person,% out-of-county trips,% out-of-state trips,Miles/person,Work trips/person,Non-work trips/person,Transit mode share,Unemployment claims/1000 people,Unemployment rate,% working from home,Cumulative inflation rate,% change in consumption,% people older than 60,Median income,% African Americans,% Hispanic Americans,% Male,Population density,Employment density,# hot spots/1000 people,Population
51001,39.0,24.0,3.14,23.2,14.6,33.9,0.47,2.67,0.89,0.4,2.7,4.9,0.3,-5.5,30.0,43210.0,29.2,9.0,48.44,25.0,16.0,130.0,32412.0
51003,47.0,28.0,2.58,44.1,1.8,43.4,0.25,2.34,2.33,0.4,2.7,4.9,0.3,-14.7,24.0,75394.0,9.7,5.8,47.82,146.0,67.0,149.0,108718.0
51005,50.0,32.0,2.69,48.6,9.0,26.3,0.46,2.22,0.81,0.4,2.7,4.9,0.3,-20.6,31.0,47794.0,5.4,1.4,49.2,34.0,21.0,90.0,14910.0
51007,46.0,22.0,2.94,43.8,0.8,38.9,0.29,2.65,1.04,0.4,2.7,4.9,0.3,-10.5,25.0,58526.0,21.3,3.0,51.75,36.0,6.0,116.0,13013.0
51009,36.0,20.0,3.22,39.1,1.4,34.8,0.33,2.89,0.58,0.4,2.7,4.9,0.3,0.2,27.0,49170.0,17.8,2.4,48.17,67.0,16.0,92.0,31666.0
51011,40.0,17.0,3.27,38.7,0.7,28.7,0.45,2.82,0.63,0.4,2.7,4.9,0.3,-11.0,27.0,56176.0,19.8,1.5,48.55,47.0,8.0,92.0,15841.0
51013,48.0,34.0,2.38,54.9,31.1,39.0,0.24,2.13,26.48,0.4,2.7,4.9,0.3,-13.1,15.0,117374.0,8.6,15.6,49.96,8929.0,5466.0,134.0,237521.0
51015,46.0,23.0,3.06,44.9,3.0,30.8,0.4,2.67,0.32,0.4,2.7,4.9,0.3,-12.1,27.0,61305.0,4.1,2.6,50.73,77.0,26.0,107.0,75457.0
51017,58.0,34.0,2.16,38.8,4.1,23.1,0.21,1.95,1.78,0.4,2.7,4.9,0.3,-31.8,28.0,46137.0,1.8,3.8,52.58,8.0,3.0,157.0,4292.0
51019,48.0,25.0,2.92,37.5,1.0,32.1,0.29,2.64,0.13,0.4,2.7,4.9,0.3,-16.8,29.0,61541.0,6.8,2.1,49.17,101.0,17.0,111.0,78747.0
51021,39.0,27.0,2.81,52.5,33.4,35.8,0.18,2.63,0.55,0.4,2.7,4.9,0.3,-5.8,29.0,50511.0,1.8,0.7,54.94,18.0,9.0,92.0,6293.0
51023,48.0,24.0,2.8,46.3,4.3,27.3,0.35,2.45,0.01,0.4,2.7,4.9,0.3,-14.6,29.0,68410.0,3.0,1.6,49.33,61.0,17.0,116.0,33277.0
51025,41.0,20.0,3.35,41.2,13.6,34.5,0.36,2.99,0.16,0.4,2.7,4.9,0.3,-9.2,27.0,41927.0,54.4,2.2,53.36,29.0,6.0,87.0,16384.0
51027,49.0,32.0,2.59,24.4,7.9,25.9,0.32,2.28,0.48,0.4,2.7,4.9,0.3,-11.1,28.0,30806.0,2.9,0.4,50.39,44.0,16.0,69.0,21221.0
51029,43.0,19.0,3.03,38.0,0.4,44.0,0.21,2.81,0.99,0.4,2.7,4.9,0.3,-15.0,25.0,46261.0,33.9,2.4,55.41,29.0,5.0,76.0,16999.0
51031,41.0,23.0,3.1,44.9,1.9,34.1,0.36,2.74,0.11,0.4,2.7,4.9,0.3,-9.6,26.0,50258.0,14.3,2.4,48.46,109.0,32.0,102.0,54973.0
51033,50.0,26.0,3.17,52.1,14.8,30.6,0.27,2.9,0.47,0.4,2.7,4.9,0.3,-13.3,22.0,64715.0,27.5,4.6,50.15,56.0,7.0,89.0,30772.0
51035,46.0,24.0,2.85,44.6,24.0,29.9,0.35,2.5,0.03,0.4,2.7,4.9,0.3,-13.4,31.0,43532.0,0.4,3.3,50.32,62.0,13.0,99.0,29636.0
51036,45.0,20.0,3.64,51.1,0.2,32.2,0.29,3.35,1.96,0.4,2.7,4.9,0.3,-13.6,32.0,59192.0,46.5,1.8,49.19,34.0,7.0,101.0,6941.0
51037,33.0,16.0,3.93,31.9,0.6,32.9,0.39,3.53,0.29,0.4,2.7,4.9,0.3,3.5,30.0,39212.0,29.0,2.0,49.45,25.0,5.0,95.0,11938.0
51041,56.0,31.0,2.41,36.5,2.0,28.4,0.2,2.21,0.47,0.4,2.7,4.9,0.3,-20.5,20.0,80214.0,22.5,8.5,48.18,777.0,283.0,120.0,348556.0
51043,55.0,31.0,2.67,52.6,9.8,32.4,0.3,2.37,0.41,0.4,2.7,4.9,0.3,-17.3,27.0,77936.0,4.8,5.2,51.05,81.0,21.0,145.0,14523.0
51045,54.0,27.0,2.72,36.7,2.3,23.3,0.05,2.67,0.0,0.4,2.7,4.9,0.3,-8.3,31.0,55484.0,0.1,0.0,48.91,15.0,4.0,90.0,5064.0
51047,52.0,29.0,2.54,36.3,1.6,36.9,0.28,2.27,1.22,0.4,2.7,4.9,0.3,-18.3,21.0,73116.0,13.2,10.3,50.05,132.0,39.0,125.0,51859.0
51049,38.0,15.0,3.02,46.9,0.9,39.9,0.24,2.78,0.23,0.4,2.7,4.9,0.3,-14.0,27.0,46221.0,32.0,0.3,49.36,33.0,5.0,100.0,9809.0
51051,30.0,18.0,2.86,25.0,4.2,20.2,0.52,2.35,0.21,0.4,2.7,4.9,0.3,-12.6,28.0,29226.0,0.7,0.9,50.7,45.0,11.0,75.0,14523.0
51053,38.0,21.0,3.49,43.0,4.8,49.2,0.35,3.14,0.5,0.4,2.7,4.9,0.3,-7.3,23.0,55880.0,32.0,3.4,49.49,56.0,14.0,72.0,28529.0
51057,44.0,23.0,3.52,43.6,1.9,31.0,0.54,2.98,0.0,0.4,2.7,4.9,0.3,-6.7,28.0,52681.0,38.8,3.5,44.96,39.0,17.0,135.0,10919.0
51059,51.0,33.0,2.34,36.9,12.3,33.4,0.2,2.14,9.75,0.4,2.7,4.9,0.3,-18.1,18.0,121133.0,9.4,16.2,49.55,2812.0,1569.0,135.0,1150795.0
51061,50.0,26.0,2.76,39.7,3.6,35.3,0.27,2.49,1.13,0.4,2.7,4.9,0.3,-15.0,23.0,97469.0,7.3,8.0,49.6,106.0,29.0,139.0,70675.0
51063,28.0,14.0,2.99,31.1,1.9,52.4,0.53,2.46,0.63,0.4,2.7,4.9,0.3,-12.7,31.0,49729.0,1.8,3.0,49.94,41.0,8.0,131.0,15795.0
51065,51.0,29.0,2.64,37.7,0.6,38.1,0.22,2.42,0.17,0.4,2.7,4.9,0.3,-19.1,27.0,74931.0,13.4,3.3,45.68,91.0,14.0,98.0,26783.0
51067,45.0,23.0,2.86,28.7,2.1,30.9,0.29,2.57,0.62,0.4,2.7,4.9,0.3,-13.6,31.0,52639.0,7.8,2.8,48.96,79.0,19.0,113.0,56195.0
51069,56.0,30.0,2.53,48.8,16.9,27.3,0.28,2.25,0.3,0.4,2.7,4.9,0.3,-19.9,22.0,73250.0,4.0,8.2,49.8,205.0,50.0,98.0,88355.0
